jobid,name,alpha,beta,M1,M2,P,Z,status,date,computation_time,TimeSteps,age,M1f,M2f,Pf,lg_mdot_M1,lg_mdot_M2,lg_mdot_thermal_tau100,lg_mdot_thermal_tau1000,lg_mdot_dynamical_tau100,lg_mdot_dynamical_tau1000,err_msg,stop_criteria,primary_flag
1392701,BG00001227,0.0,0.0,5.55584668157,14.765913682,659.879705729,0.000113421925414,completed,20160606,0.9360316666666667,2625.0,16.39997372181887,5.557907549554861,11.193579974216977,501.8673260725344,-7.807921468247658,-6.153714167000823,-3.1515021880584846,-3.168739935528791,-3.1515021880584846,-3.168739935528791,none,-3,4
1392702,BG00001228,0.0,0.0,11.6808774572,28.3543805577,4.12139563681,0.00280932053025,completed,20160606,8.316870555555555,99999.0,7.384432990676131,11.70297127042344,22.416931685710875,3.0944407792910433,-98.99999999999999,-5.032246214130893,-5.6629517864160315,-5.662006720667717,-5.6629517864160315,-5.662006720667717,none,3,4
1392703,BG00001229,0.0,0.0,43.2318829199,16.4126680491,792.504029144,0.00450378976634,completed,20160606,7.998209722222223,99999.0,14.592235676123883,43.232736261363826,12.373334994545992,1470.8762814180916,-98.99999999999999,-5.484704999703369,-5.700962587500605,-5.7041190008306515,-5.700962587500605,-5.7041190008306515,none,3,4
1392704,BG00001230,0.0,0.0,10.471477055,23.3027760273,0.256223054911,0.00153725740994,completed,20160606,0.0011986111111111112,1.0,3.814879701771765e-05,10.471477055,23.3027760273,0.2562230549109984,-98.99999999999999,-98.99999999999999,-3.292227152317256,-3.2963772312838815,-3.292227152317256,-3.2963772312838815,none,1,1
1392705,BG00001231,0.0,0.0,42.9350721243,20.0978991206,2.74305184066,0.00643461791509,completed,20160606,10.916766944444444,99999.0,11.048068391843923,43.193613252656746,14.811041957410563,4.875132537762576,-98.99999999999999,-5.215643767614409,-5.950131180031257,-5.9518524634796055,-5.950131180031257,-5.9518524634796055,none,3,4
1392706,BG00001232,0.0,0.0,33.8089196113,15.9557488612,0.266954348273,0.00325642471217,completed,20160606,0.0011541666666666668,1.0,9.83347504396229e-05,33.8089196113,15.9557488612,0.26695434827299797,-98.99999999999999,-98.99999999999999,-3.515466004455538,-3.519149453195701,-3.515466004455538,-3.519149453195701,none,1,1
1392707,BG00001233,0.0,0.0,12.8883497475,26.7101048722,0.175070760342,0.000110188038658,completed,20160606,0.0016880555555555555,1.0,2.7121332120864627e-05,12.8883497475,26.710104872200002,0.17507076034199953,-98.99999999999999,-98.99999999999999,-3.180572185617664,-3.177637560582595,-3.180572185617664,-3.177637560582595,none,1,1
1392708,BG00001234,0.0,0.0,13.4533010132,2.36625043431,113.546989251,0.0235983111168,completed,20160606,8.241158055555555,99999.0,1253.1228226036753,13.460150800207911,1.2926874672309512,595.3526880628795,-98.99999999999999,-8.408989434461883,-4.901929019348128,-4.906378462835762,-4.901929019348128,-4.906378462835762,none,3,4
1392709,BG00001235,0.0,0.0,26.2097438845,6.8366259198,0.770785886112,0.00103982351758,completed,20160606,8.356339444444444,99999.0,70.0050081071492,28.47015317228051,4.039456791799392,2.106487195780612,-98.99999999999999,-7.180451771017408,-4.114662434437139,-4.112262177596052,-4.114662434437139,-4.112262177596052,none,1,1
1392710,BG00001236,0.0,0.0,18.503518444,17.0741216715,1.73855852053,0.00333909435984,completed,20160606,8.89436972222222,99999.0,13.735408388209462,18.699661246822764,12.12041510433984,2.76696557689265,-98.99999999999999,-5.623512902474214,-4.784037771728216,-4.788114767093788,-4.784037771728216,-4.788114767093788,none,3,4
1392711,BG00001237,0.0,0.0,15.2160886019,25.7750033441,815.320978761,0.00474569555161,completed,20160606,9.262907222222223,99999.0,8.185243719718592,15.217209130642829,20.42230456478212,867.8073595204997,-98.99999999999999,-5.092700493627312,-6.257057757088125,-6.259495898026303,-6.257057757088125,-6.259495898026303,none,3,4
1392712,BG00001238,0.0,0.0,25.1559247494,20.1998061828,86.8213069213,0.0249151477888,completed,20160606,1.3469513888888889,9654.0,11.172355448584845,25.173000961917683,15.56834475605384,122.9883287632391,-7.1066754257471105,-3.7154854614690795,-3.5964278510434373,-3.6084417637383726,-3.5964278510434373,-3.6084417637383726,none,4,3
1392713,BG00001239,0.0,0.0,17.4180246088,15.2009394484,274.753882042,0.000607497476428,completed,20160606,0.055030833333333334,514.0,15.378672040046524,17.418042560964604,15.07667309599691,277.7362196817902,-7.34809994535554,-3.0549274149138688,-2.964093419145825,-2.9667565104231444,-2.964093419145825,-2.9667565104231444,none,4,3
1392714,BG00001240,0.0,0.0,18.9182273708,25.5192681753,0.996290593839,0.000581982913904,completed,20160606,9.122026111111111,99999.0,7.19367170857731,19.112719013056697,19.040815367475528,1.167279092107537,-7.254536495202375,-5.749507910498779,-3.4063336199142578,-3.4087011532987677,-3.4063336199142578,-3.4087011532987677,none,1,1
